Ano;Cod;Área;Grau_academico;Cod_IES;Nome_IES;Sigla_IES;Organização;Cat_adm;Cód_curso;Mod_Ensino;Cód_Municipio;Município;Sigla_UF;Concluintes_inscritos;Concluintes_participantes;Enade_faixa
2021;2501;Art Visuais;Licenciatura;2;Universidade De Brasília;UNB;Universidade;Pública (Fed);151;Educação Presencial;5300108;Brasília;DF;54;41;4
2021;2501;Art Visuais;Licenciatura;2;Universidade De Brasília;UNB;Universidade;Pública (Fed);52159;Educação Presencial;5300108;Brasília;DF;34;28;3
2021;2501;Art Visuais;Licenciatura;3;Universidade Federal De Sergipe;UFS;Universidade;Pública (Fed);80419;Educação Presencial;2806701;São Cristóvão;SE;33;33;3
2021;2501;Art Visuais;Licenciatura;4;Universidade Federal Do Amazonas;UFAM;Universidade;Pública (Fed);62512;Educação Presencial;1302603;Manaus;AM;27;23;4
2021;2501;Art Visuais;Licenciatura;4;Universidade Federal Do Amazonas;UFAM;Universidade;Pública (Fed);112126;Educação a Distância;1302603;Manaus;AM;65;59;1
2021;2501;Art Visuais;Licenciatura;4;Universidade Federal Do Amazonas;UFAM;Universidade;Pública (Fed);1103469;Educação Presencial;1303403;Parintins;AM;25;20;1
2021;2501;Art Visuais;Licenciatura;5;Universidade Federal Do Piauí;UFPI;Universidade;Pública (Fed);1105133;Educação Presencial;2211001;Teresina;PI;52;37;3
2021;2501;Art Visuais;Licenciatura;9;Universidade Estadual De Londrina;UEL;Universidade;Pública (Est);1146843;Educação Presencial;4113700;Londrina;PR;42;41;4
2021;2501;Art Visuais;Licenciatura;12;Universidade Federal Do Rio Grande;FURG;Universidade;Pública (Fed);1044;Educação Presencial;4315602;Rio Grande;RS;18;16;3
2021;2501;Art Visuais;Licenciatura;13;Universidade De Caxias Do Sul;UCS;Universidade;Privada (S.L);112356;Educação Presencial;4305108;Caxias do Sul;RS;21;18;3
2021;2501;Art Visuais;Licenciatura;17;Universidade Federal De Uberlândia;UFU;Universidade;Pública (Fed);111378;Educação Presencial;3170206;Uberlândia;MG;34;30;5
2021;2501;Art Visuais;Licenciatura;19;Pontifícia Universidade Católica De Campinas;PUC-CAMPINAS;Universidade;Privada (S.L);21865;Educação Presencial;3509502;Campinas;SP;11;6;3
2021;2501;Art Visuais;Licenciatura;20;Universidade De Passo Fundo;UPF;Universidade;Privada (S.L);88502;Educação Presencial;4314100;Passo Fundo;RS;11;9;3
2021;2501;Art Visuais;Licenciatura;23;Universidade Feevale;FEEVALE;Universidade;Privada (S.L);58330;Educação Presencial;4313409;Novo Hamburgo;RS;11;9;3
2021;2501;Art Visuais;Licenciatura;29;Universidade Estadual Do Ceará;UECE;Universidade;Pública (Est);1152477;Educação a Distância;2304400;Fortaleza;CE;9;4;4
2021;2501;Art Visuais;Licenciatura;43;Fundação Universidade Do Estado De Santa Catarina;UDESC;Universidade;Pública (Est);117352;Educação Presencial;4205407;Florianópolis;SC;24;22;4
2021;2501;Art Visuais;Licenciatura;54;Universidade Estadual De Campinas;UNICAMP;Universidade;Pública (Est);91972;Educação Presencial;3509502;Campinas;SP;24;15;5
2021;2501;Art Visuais;Licenciatura;56;Universidade Estadual Paulista Júlio De Mesquita Filho;UNESP;Universidade;Pública (Est);94725;Educação Presencial;3550308;São Paulo;SP;61;53;5
2021;2501;Art Visuais;Licenciatura;56;Universidade Estadual Paulista Júlio De Mesquita Filho;UNESP;Universidade;Pública (Est);1212284;Educação Presencial;3506003;Bauru;SP;30;28;5
2021;2501;Art Visuais;Licenciatura;57;Universidade Estadual De Maringá;UEM;Universidade;Pública (Est);5000539;Educação Presencial;4115200;Maringá;PR;43;38;4
2021;2501;Art Visuais;Licenciatura;76;Universidade Regional De Blumenau;FURB;Universidade;Pública (Mun);1178043;Educação Presencial;4202404;Blumenau;SC;15;14;4
2021;2501;Art Visuais;Licenciatura;125;Centro Universitário De Araras -;UNAR;Centro Universitário;Privada (S.L);1143413;Educação a Distância;3503307;Araras;SP;560;316;2
2021;2501;Art Visuais;Licenciatura;150;Universidade De Sorocaba;UNISO;Universidade;Privada (S.L);1111550;Educação Presencial;3552205;Sorocaba;SP;14;14;3
2021;2501;Art Visuais;Licenciatura;206;Centro Universitário Ítalo-Brasileiro;UNIÍTALO;Centro Universitário;Privada (S.L);109871;Educação Presencial;3550308;São Paulo;SP;22;18;3
